63.95,臺北市,5-Jan
61.4,新北市,5-Jan
93.64,臺中市,5-Jan
129.78,臺南市,5-Jan
138.81,高雄市,5-Jan
76.85,基隆市,5-Jan
45.37,新竹市,5-Jan
152.79,嘉義市,5-Jan
56.64,宜蘭縣,5-Jan
51.31,桃園市,5-Jan
45.37,新竹縣,5-Jan
54.97,苗栗縣,5-Jan
58.23,彰化縣,5-Jan
97.48,南投縣,5-Jan
105.07,雲林縣,5-Jan
69.2,嘉義縣,5-Jan
117.37,屏東縣,5-Jan
54.69,臺東縣,5-Jan
71.93,花蓮縣,5-Jan
86.7,澎湖縣,5-Jan
143.78,金門縣,5-Jan
120.44,連江縣,5-Jan
52.98,臺北市,5-Feb
61.72,新北市,5-Feb
89.97,臺中市,5-Feb
127.23,臺南市,5-Feb
143.14,高雄市,5-Feb
69.47,基隆市,5-Feb
41.67,新竹市,5-Feb
152.79,嘉義市,5-Feb
43.7,宜蘭縣,5-Feb
45.48,桃園市,5-Feb
44.91,新竹縣,5-Feb
43.83,苗栗縣,5-Feb
50.06,彰化縣,5-Feb
96.54,南投縣,5-Feb
109.33,雲林縣,5-Feb
76.19,嘉義縣,5-Feb
114.52,屏東縣,5-Feb
45.45,臺東縣,5-Feb
52.23,花蓮縣,5-Feb
69.47,澎湖縣,5-Feb
99.02,金門縣,5-Feb
71.93,連江縣,5-Feb
72.26,臺北市,5-Mar
83.72,新北市,5-Mar
105.34,臺中市,5-Mar
131.45,臺南市,5-Mar
140.75,高雄市,5-Mar
94.09,基隆市,5-Mar
71.3,新竹市,5-Mar
153.81,嘉義市,5-Mar
62.2,宜蘭縣,5-Mar
69.55,桃園市,5-Mar
62.2,新竹縣,5-Mar
60.57,苗栗縣,5-Mar
69.9,彰化縣,5-Mar
101.0,南投縣,5-Mar
136.83,雲林縣,5-Mar
154.07,嘉義縣,5-Mar
116.83,屏東縣,5-Mar
62.08,臺東縣,5-Mar
67.01,花蓮縣,5-Mar
84.24,澎湖縣,5-Mar
138.59,金門縣,5-Mar
112.67,連江縣,5-Mar
74.66,臺北市,5-Apr
82.99,新北市,5-Apr
82.72,臺中市,5-Apr
119.0,臺南市,5-Apr
125.93,高雄市,5-Apr
96.55,基隆市,5-Apr
65.7,新竹市,5-Apr
157.39,嘉義市,5-Apr
66.74,宜蘭縣,5-Apr
70.72,桃園市,5-Apr
64.3,新竹縣,5-Apr
64.3,苗栗縣,5-Apr
70.6,彰化縣,5-Apr
110.81,南投縣,5-Apr
130.01,雲林縣,5-Apr
143.78,嘉義縣,5-Apr
110.43,屏東縣,5-Apr
59.62,臺東縣,5-Apr
74.39,花蓮縣,5-Apr
86.7,澎湖縣,5-Apr
133.41,金門縣,5-Apr
102.3,連江縣,5-Apr
68.96,臺北市,5-May
54.13,新北市,5-May
68.63,臺中市,5-May
60.21,臺南市,5-May
64.55,高雄市,5-May
64.54,基隆市,5-May
33.33,新竹市,5-May
84.24,嘉義市,5-May
37.08,宜蘭縣,5-May
62.54,桃園市,5-May
33.8,新竹縣,5-May
35.19,苗栗縣,5-May
53.7,彰化縣,5-May
73.57,南投縣,5-May
65.57,雲林縣,5-May
71.93,嘉義縣,5-May
62.72,屏東縣,5-May
35.71,臺東縣,5-May
48.7,花蓮縣,5-May
45.45,澎湖縣,5-May
79.32,金門縣,5-May
69.47,連江縣,5-May
