yellow,臺北市,5-Jan
yellow,新北市,5-Jan
yellow,臺中市,5-Jan
orange,臺南市,5-Jan
orange,高雄市,5-Jan
yellow,基隆市,5-Jan
green,新竹市,5-Jan
red,嘉義市,5-Jan
yellow,宜蘭縣,5-Jan
yellow,桃園市,5-Jan
green,新竹縣,5-Jan
yellow,苗栗縣,5-Jan
yellow,彰化縣,5-Jan
yellow,南投縣,5-Jan
orange,雲林縣,5-Jan
yellow,嘉義縣,5-Jan
orange,屏東縣,5-Jan
yellow,臺東縣,5-Jan
yellow,花蓮縣,5-Jan
yellow,澎湖縣,5-Jan
orange,金門縣,5-Jan
orange,連江縣,5-Jan
yellow,臺北市,5-Feb
yellow,新北市,5-Feb
yellow,臺中市,5-Feb
orange,臺南市,5-Feb
orange,高雄市,5-Feb
yellow,基隆市,5-Feb
green,新竹市,5-Feb
red,嘉義市,5-Feb
green,宜蘭縣,5-Feb
green,桃園市,5-Feb
green,新竹縣,5-Feb
green,苗栗縣,5-Feb
green,彰化縣,5-Feb
yellow,南投縣,5-Feb
orange,雲林縣,5-Feb
yellow,嘉義縣,5-Feb
orange,屏東縣,5-Feb
green,臺東縣,5-Feb
yellow,花蓮縣,5-Feb
yellow,澎湖縣,5-Feb
yellow,金門縣,5-Feb
yellow,連江縣,5-Feb
yellow,臺北市,5-Mar
yellow,新北市,5-Mar
orange,臺中市,5-Mar
orange,臺南市,5-Mar
orange,高雄市,5-Mar
yellow,基隆市,5-Mar
yellow,新竹市,5-Mar
red,嘉義市,5-Mar
yellow,宜蘭縣,5-Mar
yellow,桃園市,5-Mar
yellow,新竹縣,5-Mar
yellow,苗栗縣,5-Mar
yellow,彰化縣,5-Mar
orange,南投縣,5-Mar
orange,雲林縣,5-Mar
red,嘉義縣,5-Mar
orange,屏東縣,5-Mar
yellow,臺東縣,5-Mar
yellow,花蓮縣,5-Mar
yellow,澎湖縣,5-Mar
orange,金門縣,5-Mar
orange,連江縣,5-Mar
yellow,臺北市,5-Apr
yellow,新北市,5-Apr
yellow,臺中市,5-Apr
orange,臺南市,5-Apr
orange,高雄市,5-Apr
yellow,基隆市,5-Apr
yellow,新竹市,5-Apr
red,嘉義市,5-Apr
yellow,宜蘭縣,5-Apr
yellow,桃園市,5-Apr
yellow,新竹縣,5-Apr
yellow,苗栗縣,5-Apr
yellow,彰化縣,5-Apr
orange,南投縣,5-Apr
orange,雲林縣,5-Apr
orange,嘉義縣,5-Apr
orange,屏東縣,5-Apr
yellow,臺東縣,5-Apr
yellow,花蓮縣,5-Apr
yellow,澎湖縣,5-Apr
orange,金門縣,5-Apr
orange,連江縣,5-Apr
yellow,臺北市,5-May
yellow,新北市,5-May
yellow,臺中市,5-May
yellow,臺南市,5-May
yellow,高雄市,5-May
yellow,基隆市,5-May
green,新竹市,5-May
yellow,嘉義市,5-May
green,宜蘭縣,5-May
yellow,桃園市,5-May
green,新竹縣,5-May
green,苗栗縣,5-May
yellow,彰化縣,5-May
yellow,南投縣,5-May
yellow,雲林縣,5-May
yellow,嘉義縣,5-May
yellow,屏東縣,5-May
green,臺東縣,5-May
green,花蓮縣,5-May
green,澎湖縣,5-May
yellow,金門縣,5-May
yellow,連江縣,5-May
yellow,臺北市,5-Jun
yellow,新北市,5-Jun
yellow,臺中市,5-Jun
yellow,臺南市,5-Jun
yellow,高雄市,5-Jun
yellow,基隆市,5-Jun
green,新竹市,5-Jun
yellow,嘉義市,5-Jun
green,宜蘭縣,5-Jun
yellow,桃園市,5-Jun
green,新竹縣,5-Jun
